Source	Target	Annotation
illness	fever	TBD
illness	suffering	TBD
high_blood_pressure	congestive_heart_failure	TBD
disease	ignorance	TBD
mental_illness	social_stigma	TBD
side_effect	problem	TBD
hypertension	cardiovascular_disease	TBD
ignorance	sin	TBD
earthquake	seismic_wave	TBD
degenerative_change	osteoarthritis	TBD
cancer	stem_cell	TBD
pain	disability	TBD
nightmare	anxiety	TBD
stress	physical_illness	TBD
depression	suicide	TBD
tumor	condition	TBD
anemia	cancer	TBD
pain	reaction	TBD
pimple	acne	TBD
odor	mold	TBD
discomfort	injury	TBD
cancer	mutation	TBD
problem	missing_teeth	TBD
virus	illness	TBD
depression	sleeplessness	TBD
dehydration	cramping	TBD
disease	nutritional_deficiency	TBD
ulcerative_colitis	inflammation	TBD
inflammation	bronchitis	TBD
poverty	oppression	TBD
food_poisoning	infection	TBD
problem	change	TBD
damage	infection	TBD
aggression	anger	TBD
increase	problem	TBD
problem	difference	TBD
exposure_to_asbestos	lung_cancer	TBD
extra_chromosome	down_syndrome	TBD
action	decision	TBD
disease	pneumonia	TBD
problem	childhood_obesity	TBD
surgery	wound	TBD
type_2_diabetes	hyperglycemia	TBD
death	infection	TBD
violence	alcoholism	TBD
resurrection	death	TBD
high_blood_pressure	water_retention	TBD
bacteria	gingivitis	TBD
lack_of_sleep	symptom	TBD
disability	discrimination	TBD
urethritis	infection	TBD
water	accident	TBD
inflation	problem	TBD
medical_problem	weight_gain	TBD
high_blood_pressure	health_problem	TBD
dementia	condition	TBD
disease	toxin	TBD
stroke	brain_damage	TBD
peace	war	TBD
landslide	loss	TBD
disease	paralysis	TBD
psychological_problem	symptom	TBD
mortality	disease	TBD
stuttering	stress	TBD
metabolic_syndrome	heart_disease	TBD
oxidative_damage	cancer	TBD
war	anger	TBD
iron_overload	hemochromatosis	TBD
condition	kidney_failure	TBD
aura	migraine	TBD
qt_prolongation	drug	TBD
fear	sin	TBD
higher_temperature	climate_change	TBD
feeling	thought	TBD
side_effect	chemotherapy	TBD
tooth_decay	plaque	TBD
pcos	weight_gain	TBD
side_effect	medication	TBD
sore_throat	bronchitis	TBD
cancer	emission	TBD
tension	war	TBD
motion_sickness	nausea	TBD
depression	chemical	TBD
situation	accident	TBD
erectile_dysfunction	stress	TBD
problem	drug_abuse	TBD
pain	sciatica	TBD
health_problem	complication	TBD
pain	side_effect	TBD
illness	death	TBD
vaccination	autism	TBD
condition	fluid_retention	TBD
impairment	injury	TBD
pelvic_inflammatory_disease	infection	TBD
alcohol	stress	TBD
high_blood_pressure	heart_attack	TBD
anxiety	side_effect	TBD
water_shortage	drought	TBD
problem	learning_disability	TBD
civil_war	revolution	TBD
